Videocard, 3D Rating, Rank, 2D Rating, Samples
GeForce GTX 680,5251,1,782,61
GeForce GTX 670,5238,2,812,96
Radeon HD 7970,5155,3,729,56
GeForce GTX 580,5029,4,731,53
GeForce GTX 690,4714,5,788,16
GeForce GTX 660 Ti,4598,6,751,65
Radeon HD 7950,4582,7,698,41
GeForce GTX 570,4327,8,735,83
GeForce GTX 590,4306,9,714,11
GeForce GTX 480,4206,10,611,35
GeForce GTX 660,4183,11,703,25
Radeon HD 7970M,3781,12,698,5
GeForce GTX 680M,3526,13,732,3
GeForce GTX 560 Ti,3487,14,668,123
Radeon HD 7870,3442,15,545,1
GeForce GTX 470,3396,16,647,26
Radeon HD 6970,3379,17,596,20
Radeon HD 5830,2116,53,588,7
Radeon HD 6700,2024,55,446,12
FirePro V9800,2024,56,417,1
Radeon HD 6900M,2015,57,612,8
GeForce GTX 670M,1962,58,622,5
GeForce GTX 650,1949,59,649,16
GeForce GTX 555,1944,60,474,1
Quadro 7000,1926,61,383,1
GeForce GTX 550 Ti,1923,62,548,102
GeForce GTX 460 SE,1920,63,584,8
GeForce GTX 460 v2,1841,65,480,4
Quadro 4000,1831,66,620,14
Radeon HD 7750,1817,67,593,2
FirePro V8750,1800,68,510,1
GeForce GTX 570M,1790,69,523,3
Radeon HD 4650 X2,1770,70,1026,1
Radeon HD 6770,1749,71,436,1
Quadro 4000M,1723,73,554,2
GeForce GTX 480M,1684,74,358,1
FirePro V5900 Adapter,1682,75,513,2
Radeon HD 5770,1679,76,498,92
Quadro 5000M,1672,77,297,1
FirePro V5900,1667,78,574,2
FirePro V8700,1665,79,413,1
GeForce GTX 660M,1657,80,619,4
Radeon HD4870 X2,1641,81,628,1
FirePro M4000,1631,82,582,3
Radeon HD 4890,1625,83,524,24
Radeon HD 6750,1617,84,426,1
Radeon HD 6750M,1614,85,726,1
Radeon - 6750m,1606,86,748,1
Radeon HD 6870M,1594,87,234,1
Radeon HD 7850M,1585,88,416,3
GeForce GTX 470M,1544,89,381,1
FirePro V4900 Adapter,1542,90,479,1
FirePro M7820,1174,126,304,1
Mobility Radeon HD 4870,1160,128,293,1
Mobility Radeon HD 4850,1134,129,478,2
GeForce 9800 GTX,1134,130,362,1
Mobility Radeon HD 5870,1133,131,389,8
GF 9800 GX2,1132,132,361,1
GeForce GTX 295,1131,133,634,9
Quadro K2000M,1130,134,711,2
Radeon HD 7670A,1125,135,835,2
Radeon HD 6700M,1110,136,506,5
SKD Radeon 4670,1110,137,288,1
FirePro M5950 Mobility Professional Graph,1109,138,340,1
GeForce 9800 GTX/9800 GX2,1109,139,390,1
Radeon HD 5670,1103,140,423,28
Quadro 3000M,1094,141,461,4
Quadro FX 4800,1080,142,449,3
Quadro 2000 D,1080,143,546,1
Quadro 2000M,1073,144,444,5
FirePro M7740,1069,145,286,1
Radeon X1800 CrossFire Edition,1066,146,343,1
Radeon HD 6670,1065,147,478,56
GeForce GTS 150,1054,148,509,1
Radeon HD 7570,1053,149,712,5
Mobility Radeon HD 6570,1042,150,384,1
GeForce GT 445M,1032,151,331,4
GeForce 9800M GS / 9800M GT,1020,152,201,1
Radeon HD 4850,1005,153,462,47
FirePro V4800,1002,154,400,4
Mobility Radeon HD 5850,1001,155,265,1
Radeon HD 4830,994,156,435,11
GeForce 9800 GTX/9800 GTX+,989,157,535,9
GeForce GTX 180M,983,158,765,1
Radeon HD 6800M,983,159,474,2
Quadro FX 3800M,974,160,333,1
Radeon HD 5600/5700,974,161,357,1
FireGL V7700,961,162,445,1
FireGL V7350,960,163,403,1
GeForce 8800 Ultra,955,164,509,3
GeForce GT 140,947,165,426,1
GeForce GT 555M,943,166,499,5
GeForce GTS 240,943,167,492,2
Quadro FX 3800,926,168,508,3
GeForce 9600GT,926,169,397,1
GeForce GTS 250,906,170,501,34
Radeon X1900 CrossFire Edition,905,171,452,1
GeForce 9800 GX2,904,172,683,2
FirePro V3900,904,173,710,4
GeForce GTX 285M,900,174,290,1
GeForce 8800 GTS 512,898,175,443,8
FireGL V7300,894,176,481,1
Radeon Processor,893,177,381,1
FireGL V7200,891,178,401,1
Radeon 6600M,890,179,481,9
GeForce GT 340,880,180,346,1
Radeon HD 6850M,877,181,389,1
Quadro FX 2800M,875,182,318,1
Radeon E6760,873,183,136,1
GeForce GTS 360M,872,184,335,3
Radeon HD 3870 X2,869,185,443,4
Radeon X1950 CrossFire Edition,864,186,458,1
Mobility Radeon HD 3870 X2,857,187,404,1
Radeon HD 6650A,855,188,452,1
FireGL V8600,852,189,405,2
GeForce 8800 GTX,852,190,428,8
GeForce 9800 GTX+,849,191,387,6
NVS 5400M,846,192,378,1
Radeon HD 7670M,846,193,583,4
Radeon HD 7650A,839,194,490,1
MSI NX7900 GTX,837,195,467,1
Radeon HD 3850 X2,837,196,440,1
Quadro FX 5600,834,197,645,6
Radeon HD 3870,829,198,433,8
GeForce GTS 160M,821,199,262,1
Quadro K1000M,817,200,387,1
Radeon HD 7650M,817,201,311,1
GeForce GTX 280M,810,202,363,2
Radeon HD 6570,806,203,445,16
Mobility Radeon HD 5570,797,204,359,1
Radeon HD 7550M/7650M,795,205,497,4
GeForce 8800GS,794,206,321,1
GeForce 9600 GT,791,207,476,43
GeForce GT 630M,786,208,404,1
Radeon X1900 GT,781,209,424,1
Radeon HD 6570M,778,210,376,1
Quadro 1000M,777,211,553,3
Radeon HD 6550A,777,212,511,2
Radeon HD 7660D,775,213,530,16
MSI NX7950 GT,771,214,396,1
GeForce 8800 GT,770,215,444,32
Radeon X1950 GT,769,216,392,1
GeForce GT 550M,768,217,301,1
GeForce GTX 170M,763,218,231,1
FirePro V5700,755,219,397,1
SiS 650_651_740,33,1702,226,1
GeForce FX Go5100,33,1703,155,1
SiS 651,33,1704,196,1
Intel 855 Embedded Controller,32,1705,260,1
MOBILITY IGP 9000,32,1706,226,1
GeForce 6150,32,1707,289,3
GeForce2 MX 100/200,32,1708,166,1
Quadro NVS 55/280 PCI,32,1709,230,1
SiS 661FX_760_741_M661FX_M760_M741,32,1710,240,1
ASUS V9520-X V62.11,32,1711,229,1
ASUS V9520 Magic V62.11,32,1712,192,1
GeForce2 MX 200,32,1713,166,1
GeForce FX 5100,32,1714,183,1
GeForce 7050 PV / nForce 630a,32,1715,261,3
SiS M650_651_650_740,31,1717,247,1
GeForce 6150 LE,31,1718,288,2
SiS 651_661FX_741_760_760GX_M661FX_M661MX_M741_M76,31,1719,243,1
MOBILITY RADEON XPRESS 200,31,1720,213,3
RIVA TNT2,31,1723,129,1
Radeon FSC,31,1724,156,1
All-in Wonder 128 Pro AGP,30,1725,170,1
GeForce 7150M / nForce 630M,20,1797,212,5
RAGE 128 PRO AGP 4X TMDS,20,1798,170,1

